tn_id,sku,nombre,marca,precio_actual,stock_actual,precio_nuevo,stock_nuevo,notas
351969598,CK-MMAC-054,Canik MMAC 054 - RESORTE RECUPERADOR HIG FORCE - FULL SIZE (ROJO) PARA MUNICION DE ALTA PRESIÓN,Canik,60766.20,5,,,
351969600,CK-MMAC-065,Canik MMAC 065 - COLA DE DISPARADOR RECTAEN ALUMINIO,Canik,181971.90,5,,,
351969603,CK-MMAC-299,Canik MMAC 299 - SET DE ALZA Y GUION TRITIO,Canik,323433.00,5,,,
351969606,CK-MMAC-638,Canik MMAC 638 - COLA DE DISPARADOR RECTA 90° ALIVIANADO - ALUMINIO- AZUL,Canik,195529.95,5,,,
351969609,CK-MMAC-640,Canik MMAC 640 - COLA DE DISPARADOR RECTA 90° ALIVIANADO - ALUMINIO- ROJO,Canik,195529.95,5,,,
351969613,CK-MMAC-787,Canik MMAC 787 - GUION PUNTO BLANCO,Canik,26952.75,5,,,
351969617,T491410,Bersa ALZA,Bersa,10339.67,5,,,
351969618,TP22A20AR,Bersa ALZA COMPLETA,Bersa,12187.85,5,,,
351969620,TN ALZAFIBRA 7,Bersa ALZA DE FIBRA OPTICA ROJA 22 - 380 - ACERO,Bersa,40504.75,5,,,
351969621,TN ALZAFIBRA 2,Bersa ALZA DE FIBRA OPTICA ROJA Bp - ACERO,Bersa,40504.75,5,,,
351969624,TN ALZAFIBRA 6,Bersa ALZA DE FIBRA OPTICA VERDE 22 - 380 - ACERO,Bersa,40504.75,5,,,
351969626,TN ALZAFIBRA 3,Bersa ALZA DE FIBRA OPTICA VERDE BP - ACERO,Bersa,40504.75,5,,,
351969629,T901427PX,Bersa ALZA LPA ALTA - ITALIANO - PARA MODELOS TPR XT / THUNDER XT,Bersa,132289.30,5,,,
351969633,T901603,Bersa ALZA LPA BAJA - ITALIANO - PARA MODELOS TPR XP,Bersa,118289.60,5,,,
351969635,T901430-PAV,Bersa ALZA METALICA CIEGA TPR - THUNDER PRO,Bersa,16027.36,5,,,
351969638,T901431-PIN,Bersa ALZA METALICA CON PUNTOS TPR - THUNDER PRO,Bersa,21531.98,5,,,
351969639,TP22B23-PAV,Bersa ARANDELA DE MARTILLO,Bersa,3848.07,5,,,
351969641,TP22B24,Bersa ARANDELA DE RETENCION DEMARTILLO,Bersa,3848.07,5,,,
351969647,T902106,Bersa BALLESTA RETEN CORREDERA,Bersa,4707.79,5,,,
351969649,T452106,Bersa BALLESTA RETEN DE CORREDERA,Bersa,4730.78,5,,,
351969652,T904005,Bersa BALLESTA TIRANTE DE MARTILLO,Bersa,4707.79,5,,,
351969653,T492401-PAV,Bersa BOTÓN DEL RETEN DE CARGADOR,Bersa,11535.01,5,,,
351969656,TP22B3-PAV,Bersa BUJE DE DESAMARTILLADOR,Bersa,1439.00,5,,,
351969657,TP380CCD12-PAV,Bersa BUJE DEL DISPARADOR,Bersa,3834.28,5,,,
351969661,T902103-PAV,Bersa BUJE LEVA DE CAÑÓN,Bersa,6597.35,5,,,
351969664,TP22T4,Bersa CACHA / GRIP 22 - 380 GOMA NEGRO,Bersa,29608.82,5,,,
