"Identificador de URL";"Nombre";"Categorías";"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";"Precio";"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";"Stock";"SKU";"Código de barras";"Mostrar en tienda";"Envío sin cargo";"Descripción";"Tags";"Título para SEO";"Descripción para SEO";"Marca";"Producto Físico";"MPN (Número de pieza del fabricante)";"Sexo";"Rango de edad";"Costo"
"magpul-602-protectores-termicos-para-riel-lar";"Magpul 602 - PROTECTORES TÉRMICOS PARA RIEL LARGO PICATINNY";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"11180.4";"";"1";"15";"10";"30";"5";"KEY-602-BK";"";"SI";"NO";"602 - PROTECTORES TÉRMICOS PARA RIEL LARGO PICATINNY";"magpul";"Magpul 602 - PROTECTORES TÉRMICOS PARA RIEL LARGO PICATINNY | JGO Armeria";"602 - PROTECTORES TÉRMICOS PARA RIEL LARGO PICATINNY";"Magpul";"SI";"KEY-602-BK";"";"";""
"magpul-603-protectores-termicos-para-riel-cor";"Magpul 603 - PROTECTORES TÉRMICOS PARA RIEL CORTO PICATINNY";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"7284.2";"";"1";"15";"10";"30";"5";"KEY-603-BK";"";"SI";"NO";"603 - PROTECTORES TÉRMICOS PARA RIEL CORTO PICATINNY";"magpul";"Magpul 603 - PROTECTORES TÉRMICOS PARA RIEL CORTO PICATINNY | JGO Armeria";"603 - PROTECTORES TÉRMICOS PARA RIEL CORTO PICATINNY";"Magpul";"SI";"KEY-603-BK";"";"";""
"magpul-604-set-de-riel-picatinny-para-colocar";"Magpul 604 - SET DE RIEL PICATINNY PARA COLOCAR EN M-LOK POLIMERO";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"43832.25";"";"1";"15";"10";"30";"5";"KEY-604-BK";"";"SI";"NO";"604 - SET DE RIEL PICATINNY PARA COLOCAR EN M-LOK POLIMERO";"magpul";"Magpul 604 - SET DE RIEL PICATINNY PARA COLOCAR EN M-LOK POLIMERO | JGO Armeria";"604 - SET DE RIEL PICATINNY PARA COLOCAR EN M-LOK POLIMERO";"Magpul";"SI";"KEY-604-BK";"";"";""
"magpul-605-correa-bujgie-con-gancho-de-seguri";"Magpul 605 - CORREA BUJGIE CON GANCHO DE SEGURIDAD";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"32948.3";"";"1";"15";"10";"30";"5";"KEY-605";"";"SI";"NO";"605 - CORREA BUJGIE CON GANCHO DE SEGURIDAD";"magpul";"Magpul 605 - CORREA BUJGIE CON GANCHO DE SEGURIDAD | JGO Armeria";"605 - CORREA BUJGIE CON GANCHO DE SEGURIDAD";"Magpul";"SI";"KEY-605";"";"";""
"magpul-606-correa-bungie-con-gancho-qd";"Magpul 606 - CORREA BUNGIE CON GANCHO QD";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"34472.9";"";"1";"15";"10";"30";"5";"KEY-606";"";"SI";"NO";"606 - CORREA BUNGIE CON GANCHO QD";"magpul";"Magpul 606 - CORREA BUNGIE CON GANCHO QD | JGO Armeria";"606 - CORREA BUNGIE CON GANCHO QD";"Magpul";"SI";"KEY-606";"";"";""
"magpul-702a-placa-porta-correa-bar9-15-acer";"Magpul 702A - PLACA PORTA CORREA BAR9 / 15 ACERO";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"14534.52";"";"1";"15";"10";"30";"5";"KEY-702A";"";"SI";"NO";"702A - PLACA PORTA CORREA BAR9 / 15 ACERO";"magpul";"Magpul 702A - PLACA PORTA CORREA BAR9 / 15 ACERO | JGO Armeria";"702A - PLACA PORTA CORREA BAR9 / 15 ACERO";"Magpul";"SI";"KEY-702A";"";"";""
"magpul-704-palanca-de-carga-bar9-15-ambidie";"Magpul 704 - PALANCA DE CARGA BAR9 / 15 AMBIDIESTRA ALUMINIO";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"59078.25";"";"1";"15";"10";"30";"5";"KEY-704";"";"SI";"NO";"704 - PALANCA DE CARGA BAR9 / 15 AMBIDIESTRA ALUMINIO";"magpul";"Magpul 704 - PALANCA DE CARGA BAR9 / 15 AMBIDIESTRA ALUMINIO | JGO Armeria";"704 - PALANCA DE CARGA BAR9 / 15 AMBIDIESTRA ALUMINIO";"Magpul";"SI";"KEY-704";"";"";""
"magpul-713-palancas-selectoras-bar9-15-ambi";"Magpul 713 - PALANCAS SELECTORAS BAR9 / 15 AMBIDIESTRA SEMI AUTO ACERO";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"50820";"";"1";"15";"10";"30";"5";"KEY-713";"";"SI";"NO";"713 - PALANCAS SELECTORAS BAR9 / 15 AMBIDIESTRA SEMI AUTO ACERO";"magpul";"Magpul 713 - PALANCAS SELECTORAS BAR9 / 15 AMBIDIESTRA SEMI AUTO ACERO | JGO Armeria";"713 - PALANCAS SELECTORAS BAR9 / 15 AMBIDIESTRA SEMI AUTO ACERO";"Magpul";"SI";"KEY-713";"";"";""
"magpul-alpha-culata-ar15-m4-crabine-bar9";"Magpul ALPHA - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"71148";"";"1";"15";"10";"30";"5";"KEY-ALPHA-BK";"";"SI";"NO";"ALPHA - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***";"magpul";"Magpul ALPHA - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC *** | JGO Armeria";"ALPHA - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***";"Magpul";"SI";"KEY-ALPHA-BK";"";"";""
"magpul-atom-culata-ar15-m4-crabine-bar9-c";"Magpul ATOM - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"71148";"";"1";"15";"10";"30";"5";"KEY-ATOM-BK";"";"SI";"NO";"ATOM - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***";"magpul";"Magpul ATOM - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC *** | JGO Armeria";"ATOM - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***";"Magpul";"SI";"KEY-ATOM-BK";"";"";""
"magpul-battlelink-minimalist-culata-ar15-m4";"Magpul BATTLELINK MINIMALIST - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"159266.25";"";"1";"15";"10";"30";"5";"MF BMS-BL";"";"SI";"NO";"BATTLELINK MINIMALIST - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***";"magpul";"Magpul BATTLELINK MINIMALIST - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC *** | JGO Armeria";"BATTLELINK MINIMALIST - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***";"Magpul";"SI";"MF BMS-BL";"";"";""
"magpul-commercial-spec-culata-fingerprint-com";"Magpul COMMERCIAL SPEC - CULATA FINGERPRINT COMMERCIAL SPEC";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"142126.6";"";"1";"15";"10";"30";"5";"DLG-054-BLK";"";"SI";"NO";"COMMERCIAL SPEC - CULATA FINGERPRINT COMMERCIAL SPEC";"magpul";"Magpul COMMERCIAL SPEC - CULATA FINGERPRINT COMMERCIAL SPEC | JGO Armeria";"COMMERCIAL SPEC - CULATA FINGERPRINT COMMERCIAL SPEC";"Magpul";"SI";"DLG-054-BLK";"";"";""
"magpul-m-lock-foldable-plegable-m-lok-foreg";"Magpul M-LOCK - Foldable / Plegable M-Lok Foregrip - Black";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"75806.5";"";"1";"15";"10";"30";"5";"DLG-047-BLK";"";"SI";"NO";"M-LOCK - Foldable / Plegable M-Lok Foregrip - Black";"magpul";"Magpul M-LOCK - Foldable / Plegable M-Lok Foregrip - Black | JGO Armeria";"M-LOCK - Foldable / Plegable M-Lok Foregrip - Black";"Magpul";"SI";"DLG-047-BLK";"";"";""
"magpul-m-lock-qd-m-lok-mount-black";"Magpul M-LOCK - QD M-Lok Mount - Black";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"31593.1";"";"1";"15";"10";"30";"5";"DLG-150-BLK";"";"SI";"NO";"M-LOCK - QD M-Lok Mount - Black";"magpul";"Magpul M-LOCK - QD M-Lok Mount - Black | JGO Armeria";"M-LOCK - QD M-Lok Mount - Black";"Magpul";"SI";"DLG-150-BLK";"";"";""
