tn_id,sku,nombre,marca,precio,stock,url,publicado
351969556,DLG-108-KIT-BLK,Magpul M-LOCK INCLUDO - Rmngtn 870 Upgrade Kit - Black,Magpul,296450.00,5,https://jgo.com.ar/productos/magpul-m-lock-includo-rmngtn-870-upgrade-kit/,SI
351969558,DLG-132-KIT-BLK,Magpul M-LOCK INCLUDO - Turkish Upgrade Kit - Black,Magpul,296450.00,5,https://jgo.com.ar/productos/magpul-m-lock-includo-turkish-upgrade-kit-b/,SI
351969562,DLG-132-KIT-TAN,Magpul M-LOCK INCLUDO - Turkish Upgrade Kit - Tan,Magpul,296450.00,5,https://jgo.com.ar/productos/magpul-m-lock-includo-turkish-upgrade-kit-t/,SI
351969564,DLG-130-BLK,Magpul MIL SPEC - CULATA COMPACTA MIL SPEC,Magpul,126372.40,5,https://jgo.com.ar/productos/magpul-mil-spec-culata-compacta-mil-spec/,SI
351969565,MAG 410 BK,Magpul MOE - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***,Magpul,205821.00,5,https://jgo.com.ar/productos/magpul-moe-culata-ar15-m4-crabine-bar9-co/,SI
351969569,MAG 348 BK,Magpul MOE SL - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***,Magpul,296480.25,5,https://jgo.com.ar/productos/magpul-moe-sl-culata-ar15-m4-crabine-bar9/,SI
351969572,KEY-NORD-BK,Magpul NORD - CULATA AR15 / M4 CRABINE / BAR9 COMERCIAL SPEC. *** NO MIL-SPEC ***,Magpul,71148.00,5,https://jgo.com.ar/productos/magpul-nord-culata-ar15-m4-crabine-bar9-c/,SI
351969574,DLG-049-BLK,Magpul PICATINNY - Ergonomic Pointing Foregrip-Picatinny - Black,Magpul,50481.20,5,https://jgo.com.ar/productos/magpul-picatinny-ergonomic-pointing-foregrip/,SI
351969577,DLG-048-BLK,Magpul PICATINNY - Foldable Picatinny Foregrip - Black,Magpul,63694.40,5,https://jgo.com.ar/productos/magpul-picatinny-foldable-picatinny-foregrip/,SI
351969579,DLG-151-BLK,Magpul PICATINNY - Picatinny Handstop w/QD Base - Black,Magpul,22191.40,5,https://jgo.com.ar/productos/magpul-picatinny-picatinny-handstop-w-qd-base/,SI
351969582,DLG-158-BLK,Magpul PICATINNY - QD Picatinny Mount - Black,Magpul,22191.40,5,https://jgo.com.ar/productos/magpul-picatinny-qd-picatinny-mount-black/,SI
351969584,DLG-158-TAN,Magpul PICATINNY - QD Picatinny Mount - Tan,Magpul,22191.40,5,https://jgo.com.ar/productos/magpul-picatinny-qd-picatinny-mount-tan/,SI
351969586,DLG-168-BLK,Magpul PICATINNY - Shtgn Shell Holder Picatinny - Black,Magpul,37945.60,5,https://jgo.com.ar/productos/magpul-picatinny-shtgn-shell-holder-picatinny/,SI
